route_id	line	path	methods	permission	csrf_header_required	controller	form	title
ilas_site_assistant.page	1	/assistant	ANY	access content	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantPageController::page		ILAS Site Assistant
ilas_site_assistant.api.message	9	/assistant/api/message	POST	access content	TRUE	\Drupal\ilas_site_assistant\Controller\AssistantApiController::message		
ilas_site_assistant.api.suggest	18	/assistant/api/suggest	GET	access content	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantApiController::suggest		
ilas_site_assistant.api.faq	26	/assistant/api/faq	GET	access content	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantApiController::faq		
ilas_site_assistant.admin.settings	34	/admin/config/ilas/site-assistant	ANY	administer ilas site assistant	FALSE		\Drupal\ilas_site_assistant\Form\AssistantSettingsForm	ILAS Site Assistant Settings
ilas_site_assistant.admin.report	42	/admin/reports/ilas-assistant	ANY	view ilas site assistant reports	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantReportController::report		ILAS Site Assistant Report
ilas_site_assistant.admin.conversations	50	/admin/reports/ilas-assistant/conversations	ANY	view ilas site assistant conversations	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantConversationController::list		Conversation Logs
ilas_site_assistant.admin.conversation_detail	58	/admin/reports/ilas-assistant/conversations/{conversation_id}	ANY	view ilas site assistant conversations	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantConversationController::detail		Conversation Detail
ilas_site_assistant.api.health	67	/assistant/api/health	GET	view ilas site assistant reports	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantApiController::health		
ilas_site_assistant.api.metrics	75	/assistant/api/metrics	GET	view ilas site assistant reports	FALSE	\Drupal\ilas_site_assistant\Controller\AssistantApiController::metrics		
ilas_site_assistant.api.track	83	/assistant/api/track	POST	access content	TRUE	\Drupal\ilas_site_assistant\Controller\AssistantApiController::track		
